beer,model,MAE,RMSE,SMAPE
Hoop Bleke Nelis,HistGradientBoosting,33.01784458986714,59.04154589413328,116.53728155243735
Hoop Kaper Tropical IPA,"ARIMA(2,1,2)",31.12424078464326,38.96851473388398,86.43388086524608
Hoop Lager,HistGradientBoosting,68.44030254805935,105.06437302249196,164.78137048726322
