Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202100003,29/11/2021,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,104,Hoop Bleke Nelis dolium 20L,"Bier in dolium (one-way keg), Kern",1,Hoop Bleke Nelis,20.0
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,57,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,7,Hoop Bleke Nelis,11.55
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,3,Hoop Bleke Nelis,4.95
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,2,Hoop Bleke Nelis,3.3
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100007,29/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,10,Hoop Bleke Nelis,16.5
202100009,30/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202100010,29/11/2021,476,SPAR linnenbank,SPAR linnenbank,"Keten, Zaanstreek",Sjors Sombroek,Nederland,ZAANDIJK,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100010,29/11/2021,476,SPAR linnenbank,SPAR linnenbank,"Keten, Zaanstreek",Sjors Sombroek,Nederland,ZAANDIJK,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100011,30/11/2021,271,Restaurant De Kraai B.V.,Restaurant De Kraai B.V.,"Restaurant, Zaanstreek",Dennis de Leeuw,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100012,24/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,8,Hoop Bleke Nelis,13.2
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,4,Hoop Kaper Tropical - Summer Session IPA,7.92
202100013,26/11/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94
202100014,25/11/2021,151,Multi Bier BV,Multi Bier BV,Distributeurs,Dennis de Leeuw,Nederland,Helmond,Multibier,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,15,Hoop Bleke Nelis,24.75
202100017,26/11/2021,608,De Koffiezaak Verskade B.V.,De Koffiezaak Verskade B.V.,"Retail, Speciaalzaak, Zaanstreek",,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202100018,01/12/2021,333,VVV Zaanstore,VVV Zaanstore,"Retail, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",7,Hoop Bleke Nelis,27.72
202100019,25/11/2021,333,VVV Zaanstore,VVV Zaanstore,"Retail, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",3,Hoop Bleke Nelis,11.88
202100020,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100020,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202100021,25/11/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",19,Hoop Bleke Nelis,75.24
202100023,30/11/2021,465,Contant,Contant,Eigen groep,,Nederland,Lagedijk,Standaard prijs,104,Hoop Bleke Nelis dolium 20L,"Bier in dolium (one-way keg), Kern",1,Hoop Bleke Nelis,20.0
202100024,26/11/2021,20,De Keuken in,De Keuken in,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ASSENDELFT,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100025,01/12/2021,34223651,Zijlweg Supermarkten B.V.,Gall & Gall Haarlem Spoorwegstraat 1,Slijterij,,Nederland,Haarlem,Gall & Gall franchise,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,3,Hoop Bleke Nelis,4.95
202100026,03/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100026,03/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100028,03/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100029,03/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100029,03/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,5,Hoop Bleke Nelis,9.9
202100030,03/12/2021,711,Gall & Gall Goudenregenplein,Gall & Gall Goudenregenplein,Slijterij,,Nederland,'S-GRAVENHAGE,Gall & Gall franchise,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202100030,03/12/2021,711,Gall & Gall Goudenregenplein,Gall & Gall Goudenregenplein,Slijterij,,Nederland,'S-GRAVENHAGE,Gall & Gall franchise,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94
202100030,03/12/2021,711,Gall & Gall Goudenregenplein,Gall & Gall Goudenregenplein,Slijterij,,Nederland,'S-GRAVENHAGE,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100030,03/12/2021,711,Gall & Gall Goudenregenplein,Gall & Gall Goudenregenplein,Slijterij,,Nederland,'S-GRAVENHAGE,Gall & Gall franchise,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,3,Hoop Bleke Nelis,4.95
202100031,03/12/2021,9130,Hardloopteam Zaanstreek Kennemerland,Hardloopteam Zaanstreek Kennemerland,"B2B, Gifting relatiegeschenken",,Nederland,,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",14,Hoop Bleke Nelis,55.44
202100032,02/12/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100033,03/12/2021,720,Gall & Gall Nieuwkoop,Gall & Gall Nieuwkoop,Slijterij,,Nederland,NIEUWKOOP,Gall & Gall franchise,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100033,03/12/2021,720,Gall & Gall Nieuwkoop,Gall & Gall Nieuwkoop,Slijterij,,Nederland,NIEUWKOOP,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100034,02/12/2021,435,Monnik Dranken,Monnik Dranken,Distributeurs,Dennis de Leeuw,Nederland,OLDENZAAL,Korting 25%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,5,Hoop Bleke Nelis,8.25
202100035,06/12/2021,21,Slijterij Saendyck,Slijterij Saendyck,"Retail, Slijterij, Zaanstreek",,Nederland,ZAANDIJK,Korting 12%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100036,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25
202100036,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100036,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100037,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98
202100037,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100039,29/11/2021,9130,Hardloopteam Zaanstreek Kennemerland,Hardloopteam Zaanstreek Kennemerland,"B2B, Gifting relatiegeschenken",,Nederland,,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",13,Hoop Bleke Nelis,51.48
202100040,01/12/2021,9131,Broekhof Hout B.V.,Broekhof Hout B.V.,B2B,,Nederland,DE ZILK,Standaard prijs,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,10,Hoop Bleke Nelis,16.5
202100041,02/12/2021,90,LUST culinair genieten,LUST culinair genieten,"Catering, Zaanstreek",Sjors Sombroek,Nederland,WORMERVEER,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100042,02/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100043,25/11/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202100043,25/11/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,1,Hoop Bleke Nelis,1.65
202100043,25/11/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100043,25/11/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100043,25/11/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,141,"Hoop Bleke Nelis doos 24blikken/0,33l one way",Bier in blik,1,Hoop Bleke Nelis,7.92
202100044,07/12/2021,282,Beer & Selected Beverages eesv (BSB),Beer & Selected Beverages eesv (BSB),Distributeurs,Dennis de Leeuw,Nederland,Etten-Leur,BSB,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",18,Hoop Bleke Nelis,71.28
202100046,30/11/2021,6,PROUDdesign,PROUDdesign,Particulieren,,Nederland,Halfweg NH,Korting 16%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202100047,29/11/2021,467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100047,29/11/2021,467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,1,Hoop Bleke Nelis,1.65
202100050,07/12/2021,90,LUST culinair genieten,LUST culinair genieten,"Catering, Zaanstreek",Sjors Sombroek,Nederland,WORMERVEER,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",6,Hoop Bleke Nelis,23.76
202100051,09/12/2021,655,Weernekers sup. Almere Waterwijk BV,Gall & Gall Almere,Retail,,Nederland,ALMERE,Gall & Gall franchise,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100052,08/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100053,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100054,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100055,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100057,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25
202100057,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100058,09/12/2021,639,C'est Bon Heemstede,C'est Bon Heemstede,"Retail, Speciaalzaak",,Nederland,HEEMSTEDE,Standaard prijs,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95
202100058,09/12/2021,639,C'est Bon Heemstede,C'est Bon Heemstede,"Retail, Speciaalzaak",,Nederland,HEEMSTEDE,Standaard prijs,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100058,09/12/2021,639,C'est Bon Heemstede,C'est Bon Heemstede,"Retail, Speciaalzaak",,Nederland,HEEMSTEDE,Standaard prijs,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100058,09/12/2021,639,C'est Bon Heemstede,C'est Bon Heemstede,"Retail, Speciaalzaak",,Nederland,HEEMSTEDE,Standaard prijs,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,2,Hoop Bleke Nelis,3.3
202100059,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,6,Hoop Kaper Tropical - Summer Session IPA,11.88
202100059,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100060,09/12/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",32,Hoop Bleke Nelis,126.72
202100060,09/12/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,5,Hoop Bleke Nelis,8.25
202100060,09/12/2021,19,BierGro BV,BierGro BV,Distributeurs,Dennis de Leeuw,Nederland,Middenmeer,Korting 20%,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
202100061,10/12/2021,9082,Jenowood B.V.,Jenowood B.V.,"B2B, Gifting relatiegeschenken",,Nederland,HEM,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",10,Hoop Bleke Nelis,39.6
202100062,12/12/2021,471,G.C. vd.Steeg h.o.Mitra Slijterij Baarn,G.C. vd.Steeg h.o.Mitra Slijterij Baarn,Slijterij,,Nederland,BAARN,Monnik-Mitra,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,1,Hoop Bleke Nelis,1.65
202100062,12/12/2021,471,G.C. vd.Steeg h.o.Mitra Slijterij Baarn,G.C. vd.Steeg h.o.Mitra Slijterij Baarn,Slijterij,,Nederland,BAARN,Monnik-Mitra,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100063,10/12/2021,421,Rue Du Saint,Rue Du Saint,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,KROMMENIE,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100064,10/12/2021,20,De Keuken in,De Keuken in,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ASSENDELFT,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202100065,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95
202100065,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202100066,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202100066,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100068,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202100068,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100068,09/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98
202100069,09/12/2021,679,Craft Only / Scalabor Afdeling E-fulfilment,Craft Only / Scalabor Afdeling E-fulfilment,Webshop,,Nederland,ARNHEM,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",34,Hoop Bleke Nelis,134.64
202100070,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94
202100070,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94
202100071,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202100071,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98
202100072,10/12/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,2,Hoop Bleke Nelis,3.3
202100072,10/12/2021,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100073,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202100073,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,1,Hoop Bleke Nelis,1.65
202100074,10/12/2021,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,1,Hoop Kaper Tropical - Summer Session IPA,1.98
