Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202500900,12/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,534,Hoop Kaper Tropical  IPA KU 20L,"Bier in KU fust, Kern",2,Hoop Kaper Tropical - Summer Session IPA,40.0
202500900,12/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",4,Hoop US Lager,80.0
202500901,12/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",4,Hoop Bleke Nelis,15.84
202500901,12/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,4,Hoop Bleke Nelis,6.6
202500901,12/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,4,Hoop Kaper Tropical - Summer Session IPA,7.92
202500901,12/11/2025,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202500903,14/11/2025,137,Slijterij De Stient B.V.,Slijterij De Stient B.V.,Slijterij,,Nederland,VOLENDAM,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500904,14/11/2025,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202500904,14/11/2025,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,2,Hoop Bleke Nelis,3.96
202500904,14/11/2025,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96
202500905,14/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",4,Hoop US Lager,80.0
202500905,14/11/2025,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500906,14/11/2025,620,Cafe Lennons,Cafe Lennons,Café,Sjors Sombroek,Nederland,Volendam,Standaard prijs,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",3,Hoop Bleke Nelis,11.88
202500907,14/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,514,Hoop Bleke Nelis KU 20L,"Bier in KU fust, Kern",2,Hoop Bleke Nelis,40.0
202500907,14/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",10,Hoop US Lager,200.0
202500907,14/11/2025,479,De Stoomhal,De Stoomhal,"Café, Zaanstreek",Dennis de Leeuw,Nederland,Wormer,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
