week,beer,container,forecast_liters
2026-10-05,Hoop Bleke Nelis,Bottle 75cl,5.684281333483806
2026-10-12,Hoop Bleke Nelis,Bottle 75cl,1.861808663748205
2026-10-19,Hoop Bleke Nelis,Bottle 75cl,0.7088253099683851
2026-10-26,Hoop Bleke Nelis,Bottle 75cl,0.8355305928008511
2026-11-02,Hoop Bleke Nelis,Bottle 75cl,3.275620267417645
2026-11-09,Hoop Bleke Nelis,Bottle 75cl,65.32587066634783
2026-11-16,Hoop Bleke Nelis,Bottle 75cl,160.57113972600737
2026-11-23,Hoop Bleke Nelis,Bottle 75cl,28.012588899216784
2026-11-30,Hoop Bleke Nelis,Bottle 75cl,7.94254112218844
2026-12-07,Hoop Bleke Nelis,Bottle 75cl,10.959695380938383
2026-12-14,Hoop Bleke Nelis,Bottle 75cl,30.53878079014882
2026-12-21,Hoop Bleke Nelis,Bottle 75cl,31.335036949341497
2026-12-28,Hoop Bleke Nelis,Bottle 75cl,6.7943308775132705
2027-01-04,Hoop Bleke Nelis,Bottle 75cl,0.965899391563897
2027-01-11,Hoop Bleke Nelis,Bottle 75cl,0.9048898774307333
2027-01-18,Hoop Bleke Nelis,Bottle 75cl,0.04128322921562076
2027-01-25,Hoop Bleke Nelis,Bottle 75cl,0.03273365622634797
2027-02-01,Hoop Bleke Nelis,Bottle 75cl,0.113767695418002
2027-02-08,Hoop Bleke Nelis,Bottle 75cl,0.0884995893175048
2026-02-16,Hoop Bleke Nelis,Can 33cl,0.02575577090826541
2026-02-23,Hoop Bleke Nelis,Can 33cl,0.02728523140408615
2026-03-02,Hoop Bleke Nelis,Can 33cl,0.009821942007276869
2026-03-09,Hoop Bleke Nelis,Can 33cl,0.010222040957205821
2026-03-16,Hoop Bleke Nelis,Can 33cl,0.02033981541187869
2026-03-23,Hoop Bleke Nelis,Can 33cl,0.015907836293840984
2026-03-30,Hoop Bleke Nelis,Can 33cl,0.007902832061047943
2026-04-06,Hoop Bleke Nelis,Can 33cl,0.005797407026035324
2026-04-13,Hoop Bleke Nelis,Can 33cl,0.007902832061047943
2026-04-20,Hoop Bleke Nelis,Can 33cl,0.00450129903894415
2026-04-27,Hoop Bleke Nelis,Can 33cl,0.005556291722752792
2026-05-04,Hoop Bleke Nelis,Can 33cl,0.0014160590997443787
2026-05-11,Hoop Bleke Nelis,Can 33cl,0.0004940315246411434
2026-05-18,Hoop Bleke Nelis,Can 33cl,0.0035977192298804923
2026-05-25,Hoop Bleke Nelis,Can 33cl,0.00251046532532511
2026-06-01,Hoop Bleke Nelis,Can 33cl,0.002320637058622887
2026-06-08,Hoop Bleke Nelis,Can 33cl,0.0013212385493966568
2026-06-15,Hoop Bleke Nelis,Can 33cl,0.001211674154233457
2026-06-22,Hoop Bleke Nelis,Can 33cl,0.0009710807899201582
2026-06-29,Hoop Bleke Nelis,Can 33cl,0.0004649223050045729
2026-07-06,Hoop Bleke Nelis,Can 33cl,0.0004982145679431133
2026-07-13,Hoop Bleke Nelis,Can 33cl,0.0004386848426402563
2026-07-20,Hoop Bleke Nelis,Can 33cl,0.0004386848426402563
2026-07-27,Hoop Bleke Nelis,Can 33cl,0.0004386848426402563
2026-08-03,Hoop Bleke Nelis,Can 33cl,0.0011801793569018774
2026-08-10,Hoop Bleke Nelis,Can 33cl,0.0006990974343947365
2026-08-17,Hoop Bleke Nelis,Can 33cl,0.0008404115569623933
2026-08-24,Hoop Bleke Nelis,Can 33cl,0.0021978699447183013
2026-08-31,Hoop Bleke Nelis,Can 33cl,0.005163337407511649
2026-09-07,Hoop Bleke Nelis,Can 33cl,0.010321351653924468
2026-09-14,Hoop Bleke Nelis,Can 33cl,0.010321351653924468
2026-09-21,Hoop Bleke Nelis,Can 33cl,1.5076358294379106
2026-09-28,Hoop Bleke Nelis,Can 33cl,0.999361626012683
2026-10-05,Hoop Bleke Nelis,Can 33cl,1.202208656460546
2026-10-12,Hoop Bleke Nelis,Can 33cl,2.1342573666299955
2026-10-19,Hoop Bleke Nelis,Can 33cl,3.359029575774053
2026-10-26,Hoop Bleke Nelis,Can 33cl,0.13755149931225627
2026-11-02,Hoop Bleke Nelis,Can 33cl,0.1556989279730045
2026-11-09,Hoop Bleke Nelis,Can 33cl,0.10913728625021824
2026-11-16,Hoop Bleke Nelis,Can 33cl,0.007771556866201838
2026-11-23,Hoop Bleke Nelis,Can 33cl,0.005664877342304478
2026-11-30,Hoop Bleke Nelis,Can 33cl,0.006711821487867871
2026-12-07,Hoop Bleke Nelis,Can 33cl,0.15354745949180112
2026-12-14,Hoop Bleke Nelis,Can 33cl,0.7464295301922628
2026-12-21,Hoop Bleke Nelis,Can 33cl,0.18665863756827764
2026-12-28,Hoop Bleke Nelis,Can 33cl,0.547505476492962
2027-01-04,Hoop Bleke Nelis,Can 33cl,0.11750504539769656
2027-01-11,Hoop Bleke Nelis,Can 33cl,0.5643402057256355
2027-01-18,Hoop Bleke Nelis,Can 33cl,0.032208656444172805
2027-01-25,Hoop Bleke Nelis,Can 33cl,0.01891114286365507
2027-02-01,Hoop Bleke Nelis,Can 33cl,0.03360288667632874
2027-02-08,Hoop Bleke Nelis,Can 33cl,0.30169399100331434
2026-02-16,Hoop Bleke Nelis,Keg 20L,109.59043399739046
2026-02-23,Hoop Bleke Nelis,Keg 20L,95.98768706661913
2026-03-02,Hoop Bleke Nelis,Keg 20L,79.19846882684313
2026-03-09,Hoop Bleke Nelis,Keg 20L,123.85749974220194
2026-03-16,Hoop Bleke Nelis,Keg 20L,92.59520598492445
2026-03-23,Hoop Bleke Nelis,Keg 20L,114.98483004847778
2026-03-30,Hoop Bleke Nelis,Keg 20L,136.55247602046975
2026-04-06,Hoop Bleke Nelis,Keg 20L,110.44053469570768
2026-04-13,Hoop Bleke Nelis,Keg 20L,249.08385596468952
2026-04-20,Hoop Bleke Nelis,Keg 20L,113.05660864659328
2026-04-27,Hoop Bleke Nelis,Keg 20L,314.77296438864823
2026-05-04,Hoop Bleke Nelis,Keg 20L,223.7489219108181
2026-05-11,Hoop Bleke Nelis,Keg 20L,253.8576280726939
2026-05-18,Hoop Bleke Nelis,Keg 20L,403.6145147802865
2026-05-25,Hoop Bleke Nelis,Keg 20L,285.9028027844958
2026-06-01,Hoop Bleke Nelis,Keg 20L,307.0809819762631
2026-06-08,Hoop Bleke Nelis,Keg 20L,209.57212052933704
2026-06-15,Hoop Bleke Nelis,Keg 20L,216.67374256962285
2026-06-22,Hoop Bleke Nelis,Keg 20L,290.68183418528076
2026-06-29,Hoop Bleke Nelis,Keg 20L,277.1656126623604
2026-07-06,Hoop Bleke Nelis,Keg 20L,244.90950255979297
2026-07-13,Hoop Bleke Nelis,Keg 20L,246.85293896874782
2026-07-20,Hoop Bleke Nelis,Keg 20L,258.4021925124167
2026-07-27,Hoop Bleke Nelis,Keg 20L,258.335680806743
2026-08-03,Hoop Bleke Nelis,Keg 20L,159.20319529033085
2026-08-10,Hoop Bleke Nelis,Keg 20L,156.67512182429448
2026-08-17,Hoop Bleke Nelis,Keg 20L,144.2297194089668
2026-08-24,Hoop Bleke Nelis,Keg 20L,154.12891889854032
2026-08-31,Hoop Bleke Nelis,Keg 20L,136.2656748169411
2026-09-07,Hoop Bleke Nelis,Keg 20L,232.0756989124784
2026-09-14,Hoop Bleke Nelis,Keg 20L,135.7346823561157
2026-09-21,Hoop Bleke Nelis,Keg 20L,170.6593302481538
2026-09-28,Hoop Bleke Nelis,Keg 20L,184.52331669316925
2026-10-05,Hoop Bleke Nelis,Keg 20L,222.702457807712
2026-10-12,Hoop Bleke Nelis,Keg 20L,169.42087983924992
2026-10-19,Hoop Bleke Nelis,Keg 20L,106.78246917556277
2026-10-26,Hoop Bleke Nelis,Keg 20L,194.87171439976223
2026-11-02,Hoop Bleke Nelis,Keg 20L,89.19571395755028
2026-11-09,Hoop Bleke Nelis,Keg 20L,103.02831644572703
2026-11-16,Hoop Bleke Nelis,Keg 20L,92.60141318020156
2026-11-23,Hoop Bleke Nelis,Keg 20L,94.45707044093065
2026-11-30,Hoop Bleke Nelis,Keg 20L,180.97900768742247
2026-12-07,Hoop Bleke Nelis,Keg 20L,91.87594835251855
2026-12-14,Hoop Bleke Nelis,Keg 20L,81.65151975880877
2026-12-21,Hoop Bleke Nelis,Keg 20L,159.1919831521158
2026-12-28,Hoop Bleke Nelis,Keg 20L,108.71886872770847
2027-01-04,Hoop Bleke Nelis,Keg 20L,51.06214482229882
2027-01-11,Hoop Bleke Nelis,Keg 20L,64.67203080095095
2027-01-18,Hoop Bleke Nelis,Keg 20L,100.42070214333147
2027-01-25,Hoop Bleke Nelis,Keg 20L,111.26650665340254
2027-02-01,Hoop Bleke Nelis,Keg 20L,74.48732643285227
2027-02-08,Hoop Bleke Nelis,Keg 20L,82.68544641069226
2026-02-16,Hoop Bleke Nelis,Keg 50L,1.4500474758731706e-05
2026-02-23,Hoop Bleke Nelis,Keg 50L,1.4500474758731706e-05
2026-03-02,Hoop Bleke Nelis,Keg 50L,1.4500474758731706e-05
2026-03-09,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-03-16,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-03-23,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-03-30,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-04-06,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-04-13,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-04-20,Hoop Bleke Nelis,Keg 50L,1.7010396279524963e-05
2026-04-27,Hoop Bleke Nelis,Keg 50L,0.0006414835289471626
2026-05-04,Hoop Bleke Nelis,Keg 50L,0.0006414835289471626
2026-05-11,Hoop Bleke Nelis,Keg 50L,0.000895903011361917
2026-05-18,Hoop Bleke Nelis,Keg 50L,0.0017469989814002998
2026-05-25,Hoop Bleke Nelis,Keg 50L,0.0017469989814002998
2026-06-01,Hoop Bleke Nelis,Keg 50L,0.0001061975761022012
2026-06-08,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-06-15,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-06-22,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-06-29,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-07-06,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-07-13,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-07-20,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-07-27,Hoop Bleke Nelis,Keg 50L,4.123224940797799e-05
2026-08-03,Hoop Bleke Nelis,Keg 50L,0.0003081029289584438
2026-08-10,Hoop Bleke Nelis,Keg 50L,0.000347843121902169
2026-08-17,Hoop Bleke Nelis,Keg 50L,0.000347843121902169
2026-08-24,Hoop Bleke Nelis,Keg 50L,0.002599215085640518
2026-08-31,Hoop Bleke Nelis,Keg 50L,0.000347843121902169
2026-09-07,Hoop Bleke Nelis,Keg 50L,0.000895903011361917
2026-09-14,Hoop Bleke Nelis,Keg 50L,0.000895903011361917
2026-09-21,Hoop Bleke Nelis,Keg 50L,0.0017469989814002998
2026-09-28,Hoop Bleke Nelis,Keg 50L,0.0017469989814002998
2026-10-05,Hoop Bleke Nelis,Keg 50L,0.0017469989814002998
2026-10-12,Hoop Bleke Nelis,Keg 50L,0.0012648578332814572
2026-10-19,Hoop Bleke Nelis,Keg 50L,0.0012648578332814572
2026-10-26,Hoop Bleke Nelis,Keg 50L,4.63256555040767e-05
2026-11-02,Hoop Bleke Nelis,Keg 50L,3.3230677623308605e-05
2026-11-09,Hoop Bleke Nelis,Keg 50L,3.3230677623308605e-05
2026-11-16,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
2026-11-23,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
2026-11-30,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
2026-12-07,Hoop Bleke Nelis,Keg 50L,5.799498341203651e-05
2026-12-14,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
2026-12-21,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
2026-12-28,Hoop Bleke Nelis,Keg 50L,3.3230677623308605e-05
2027-01-04,Hoop Bleke Nelis,Keg 50L,2.8327417784636908e-05
