model,MAE,RMSE,beers_used
Weekly + Weather + Events,176.15574032806316,263.19030918700827,3
Weekly + Weather (No Events),176.15574032806316,263.19030918700827,3
Monthly + Weather + Events,427.53558823529414,494.36219831494094,3
Monthly + Weather (No Events),427.53558823529414,494.36219831494094,3
