model,MAE,RMSE,SMAPE
HistGradientBoosting,45.59011687410185,71.77093882761514,135.7410804547301
"ARIMA(2,1,2)",57.16528244582695,76.63508611979576,125.41375029945658
Ridge,54.33334239880756,77.35191408167886,108.04791982584665
LinearRegression,54.56370762443182,77.70006683808019,108.44365898784889
Naive_Last_Week,61.12974358974359,81.92851548122225,85.90210169431087
RandomForest,59.18408964289401,86.41410950778543,111.27215427788316
HoltWinters_Additive,59.943657782978185,90.77514737273994,148.05857627175214
Naive_Seasonal_52,60.210544871794866,111.4429472470908,86.58683788865012
